# coding: utf-8
# 小鹤音形用户词库
# 与系统词条重码时居后，如想居前，请把词条放到flypy_top.txt文件内
# 
# 编码格式：字词+Tab符+编码（用户词库本身有重码则还需后面+Tab符+权重，权重大者居前，权重数字随意）
#
#    -------- 强调一下 --------
# 
#   词条和编码之间的不是空格，而是Tab符
#   按住键盘 G 键，切换到功能键盘，使用上面的Tab键
# 
#    -------------------------------
# 
# 系统次选词放在flypy_sys.txt文件内，可修改删除
# 三码二四字词补全放本文件内，不需要可删除
# 用户词库，下行开始添加，编码格式见上，部署后生效
# 简词补全
尝尝	ihih
背景	bwjk
伤害	uhhd
程度	igdu
附件	fujm
世纪	uiji
假如	jxru
统一	tsyi
不再	buzd
猥琐	wwso
险恶	xmee
恶毒	eedu
达到	dadc
回复	hvfu
指定	vidk
链接	lmjp
束缚	uufu
主意	vuyi
征服	vgfu
歧视	qiui
为止	wwvi
微信	wwxb
微博	wwbo
世纪	uiji
反悔	fjhv
主义	vuyi
整句	vgju
政权	vgqr
神祇	ufqi
及时	jiui
距离	juli
距离	julz
音形	ybxk
想想	xlxl
此后	cihz
当期	dhqi
当期	dhqq
几根	jigf
盖顶	gddk
闲婿	xmxu
播讲	bojl
照你	vcni
婆子	pozi
讲理	jllw
讲理	jlli
好么	hcme
小强	xnql
剑来	jmld
湖广	hugl
也在	yezd
三体	sjti
大清	daqk
宋江	ssjl
出世	iuui
收服	uzfu
华纳	hxna
特命	temk
法杖	favh
无尘	wuif
神力	ufli
用的	ysde
行么	xkme
武术	wuuu
鲤鱼	liyu
小爱	xnai
公网	gswh
野狼	yelh
阿里	aali
黑豆	hwdz
柳条	lqtn
狗刨	gzpc
法科	fake
讲了	jlle
不通	buts
三菱	sjlk
进行	jbx
醉人	zvr
门门	mfm
代码	ddm
岳飞	ytfw
野餐	yec
砌筑	qivu
寿宁	uznk
铬铁	getp
高碳	gctj
中碳	vstj
铬矿	gekl
炉衬	luif
铬渣	geva
不要钱	byqm
王麻子	wmz
王海旗	whqf
王祖妍	wzy
付晓蕾	fxlc
喜滋滋	xzzi
能办到	nbdc
一千多	yqdo
鼠须管	uxg
和氏壁	hubi
在哪里	znl
触摸板	imb
自然码	zrm
工作站	gzvj
天不亮	tall
铁合金	thjb
空压机	kyji
儒林外史	rlw
摸爬滚打	mpg
奇花异草	qhy
同年同月	tnty
未知领域	wvl
抬不起来	tbql
救死扶伤	jsf
往来不绝	wlbj
